a01,medias,23,0,1100.0,1800.0
a02,talco,2,0,2500.0,3200.0
a03,jabon,20,16,2000.0,2800.0
a04,camisa,10,10,12000.0,18000.0
a05,pantalon,8,0,15000.0,22000.0
a06,zapatos,5,5,30000.0,42000.0
a07,Blusa,12,12,2000.0,2800.0
a08,monitor,2,2,250000.0,300000.0
a09,vaso,10,10,4000.0,5000.0
a10,lapicero,12,12,1200.0,3800.0
a11,regla,20,20,1500.0,1800.0
a12,puerta,1,0,80000.0,120000.0
a13,borrador,32,32,300.0,350.0
a14,Gafas,5,5,5000.0,8800.0
a15,lapiz,50,25,600.0,900.0
a16,sacapuntas,50,50,800.0,1200.0
a17,pincel,30,30,1000.0,1500.0
a18,cuaderno,50,50,1000.0,1500.0
a19,colino,10,10,2500.0,3200.0
a20,billeteras,50,5,5000.0,6000.0
